Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DT90, DX32, Z (temp), Z (Elevation), Z (precip.),Temperature,Elevation,Precipitation,NORMALIZED LATITUDE,NORMALIZED LONGITUTE
COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,2,180,-16,0,0,0.376609351,-1.17227473,2.194807097, Normal, Low, Very Wet,-0.235814279,0.419497525
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,2,-36,15,0,0,1.092883638,2.279577292,-0.542295691, Warm, Very High, Normal,-0.06064048,-0.873829188
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,2,124,-79,0,15,-1.079044845,0.388381311,1.485187855, Cold, Normal, Wet,0.201624139,-1.49565369
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,2,315,-51,0,9,-0.432087425,-0.37786059,3.905496339, Normal, Normal, Very Wet,0.2396491,-1.774492286
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,2,-21,-105,0,25,-1.679791021,-0.632701076,-0.352219108, Cold, Normal, Normal,0.229572371,0.048076036
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,2,13,-119,0,25,-2.003269731,-0.66883036,0.078621145, Very Cold, Normal, Normal,0.144722801,0.682979553
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,2,20,-67,0,20,-0.801777379,-0.2965697,0.167323551, Normal, Normal, Normal,0.059359346,0.163659956
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,2,91,-42,0,4,-0.224136825,0.722792245,1.067019374, Normal, Normal, Wet,0.127080257,-1.754633229
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,2,57,-12,0,0,0.46903184,-1.182167272,0.636179121, Normal, Low, Normal,-0.235511544,0.558939373
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,2,162,2,0,0,0.79251055,-1.174855393,1.966715198, Normal, Low, Wet,-0.238889958,0.551317464
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,2,76,-52,0,10,-0.455193047,-1.063456767,0.876942792, Normal, Low, Normal,0.046242553,1.797785221
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,2,75,-83,0,15,-1.171467334,1.61097048,0.864271019, Cold, High, Normal,0.076671172,-0.42157337
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,2,-6,-43,0,6,-0.247242447,0.983009113,-0.162142526, Normal, Normal, Normal,-0.021050968,-0.293218618
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,2,-18,-39,0,23,-0.154819959,-0.172052703,-0.314203792, Normal, Normal, Normal,0.105044249,1.660816359
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,2,101,-5,0,0,0.630771195,-1.185393101,1.193737096, Normal, Low, Wet,-0.23693872,0.542229803
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,2,72,-32,0,6,0.006919396,-0.293128816,0.826255703, Normal, Normal, Normal,-0.043644363,1.06363603
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,2,184,-32,0,7,0.006919396,-0.604528837,2.245494185, Normal, Normal, Very Wet,-0.058549324,0.932307681
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,2,-6,-68,0,15,-0.824883001,0.168809888,-0.162142526, Normal, Normal, Normal,0.221451967,-0.672510066
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,2,-171,16,0,0,1.11598926,-1.127758291,-2.252984933, Warm, Low, Very Dry,-0.189152485,1.190332603
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,2,0,6,0,0,0.884933038,-1.122381909,-0.086111893, Normal, Low, Normal,-0.198417682,1.172751099
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,2,17,-122,0,25,-2.072586598,-0.755282576,0.129308234, Very Cold, Normal, Normal,0.1420796,0.714820191
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,2,-115,21,0,0,1.231517371,-0.423022195,-1.543365691, Warm, Normal, Dry,-0.149616396,-1.086671373
COOP:478349,SUPERIOR US,192,46.7,-92.0167,2,22,0,0,14,0.746299306,-0.77506766,0.192667095, Normal, Normal, Normal,0.188077413,0.40951538
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,2,-56,-120,0,25,-2.026375354,-0.626894584,-0.795731134, Very Cold, Normal, Normal,0.096499,0.673583709
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,2,-55,-77,0,11,-1.032833601,0.669673595,-0.783059362, Cold, Normal, Normal,-0.058124478,-0.260423362
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,2,20,-118,0,15,-1.980164109,0.548382427,0.167323551, Cold, Normal, Normal,0.216837176,-0.991908644
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,2,-3,-121,0,18,-2.049480976,0.565371793,-0.124127209, Very Cold, Normal, Normal,0.233823372,-0.927302818
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,2,0,0,0,28,0.746299306,-0.809691557,-0.086111893, Normal, Normal, Normal,0.650927454,-3.789192848
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,2,0,0,0,15,0.746299306,0.468381869,-0.086111893, Normal, Normal, Normal,0.232922292,-0.850465105
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,2,-183,-38,0,3,-0.131714337,-0.66022815,-2.405046199, Normal, Normal, Very Dry,-0.061658075,0.194042358
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,2,-8,15,0,0,1.092883638,-1.168403735,-0.18748607, Warm, Low, Normal,-0.152386797,1.363682175
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,2,-50,-110,0,24,-1.795319132,-0.576356597,-0.719700501, Cold, Normal, Normal,0.09312313,0.670118521
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,2,-26,-129,0,25,-2.234325953,-0.64840011,-0.415577969, Very Cold, Normal, Normal,0.105609014,0.581632217
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,2,6,-87,0,20,-1.263889822,-0.257214587,-0.01008126, Cold, Normal, Normal,0.098549453,0.121168189
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,2,89,-101,0,14,-1.587368533,2.238931847,1.04167583, Cold, Very High, Wet,0.150240707,-1.141024454
COOP:233601,HANNIBAL WATER WORKS MO US,217,39.7233,-91.3719,2,32,-122,0,21,-2.072586598,-0.721303844,0.319384816, Very Cold, Normal, Normal,0.010591132,0.457982904
COOP:424467,KAMAS 3 NW UT US,1975.4,40.6438,-111.2822,2,-37,22,0,7,1.254622993,3.060227895,-0.554967463, Warm, Very High, Normal,0.034008524,-1.038609749
COOP:242404,DILLON AIRPORT MT US,1585,45.2575,-112.5544,2,-3,-96,0,14,-1.471840422,2.22065215,-0.124127209, Cold, Very High, Normal,0.151380413,-1.134236896
COOP:243142,FORTINE 2 NE MT US,926.6,48.78222,-114.87667,2,0,0,0,0,0.746299306,0.8047283,-0.086111893, Normal, Normal, Normal,0.241048801,-1.308794397
COOP:468191,SISSONVILLE 1 SW WV US,187.5,38.51667,-81.64528,2,0,0,0,9,0.746299306,-0.784745147,-0.086111893, Normal, Normal, Normal,-0.020105368,1.189101371
COOP:116080,NEW BOSTON DAM 17 IL US,167,41.1924,-91.0579,2,112,-135,0,21,-2.372959686,-0.828831476,1.333126589, Very Cold, Normal, Wet,0.047964832,0.481585265
COOP:345870,MINCO 2 SSW MESONET OK US,429.8,35.27222,-97.95528,2,0,0,0,9,0.746299306,-0.263666245,-0.086111893, Normal, Normal, Normal,-0.102643727,-0.036868411
COOP:253735,HEBRON NE US,451.1,40.175,-97.5902,2,-28,-72,0,16,-0.91730549,-0.217859474,-0.440921513, Normal, Normal, Normal,0.022082317,-0.009426532
COOP:426869,PINE VIEW DAM UT US,1505.7,41.2578,-111.8378,2,190,68,0,7,2.317481612,2.050113326,2.321524818, Very Warm, Very High, Very Wet,0.049628599,-1.080372399
COOP:301309,CENTERPORT NY US,9.1,40.8838,-73.3722,2,156,-35,0,14,-0.06239747,-1.168403735,1.890684565, Normal, Low, Wet,0.040114091,1.810961953
COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,2,-521,-58,0,10,-0.59382678,-1.117865749,-6.68810519, Normal, Low, Very Dry,0.445159933,-2.666345841
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,2,-28,25,0,0,1.32393986,1.505378346,-0.440921513, Warm, High, Normal,-0.054880896,-0.93227134
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,2,0,16,6,0,1.11598926,0.537844719,-0.086111893, Warm, Normal, Normal,-0.253342343,-0.460787866
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,2,0,0,0,0,0.746299306,-0.910122365,-0.086111893, Normal, Normal, Normal,0.531217897,-3.920894024
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,2,-161,-22,0,23,0.237975618,-0.848401504,-2.126267211, Normal, Normal, Very Dry,0.535428194,-3.899914982
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,2,-169,-5,0,0,0.630771195,-1.18001672,-2.227641388, Normal, Low, Very Dry,-0.542753839,2.286474366
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,2,-125,-64,0,6,-0.732460513,-0.718723181,-1.670083413, Normal, Normal, Dry,-0.088085003,0.403411839
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,2,135,-125,0,21,-2.141903464,-0.737648044,1.624577349, Very Cold, Normal, Wet,0.05025442,0.43273439
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,2,3,26,0,28,1.347045482,-1.146037988,-0.048096576, Warm, Low, Normal,0.789193356,-3.919691356
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,2,-16,-89,0,20,-1.310101067,-0.529259495,-0.288860247, Cold, Normal, Normal,0.063834218,1.280833377
COOP:417458,RAYMONDVILLE TX US,9.4,26.4819,-97.8097,2,0,0,1,0,0.746299306,-1.16775857,-0.086111893, Normal, Low, Normal,-0.32626825,-0.025925635
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,2,-227,-66,0,9,-0.778671757,-0.663669034,-2.962604174, Normal, Normal, Very Dry,-0.075332,0.38116248
COOP:049203,VACAVILLE NUT TREE AIRPORT CA US,33.2,38.3775,-121.9575,2,218,17,0,0,1.139094882,-1.116575417,2.676334439, Warm, Low, Very Wet,-0.023645834,-1.841037415
COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,2,-21,-89,0,18,-1.310101067,0.106658917,-0.352219108, Cold, Normal, Normal,0.207248893,-0.516629249
COOP:405035,LANCASTER EDGAR EVINS TN US,192,36.0827,-85.826,2,-2,-7,0,0,0.58455995,-0.77506766,-0.111455437, Normal, Normal, Normal,-0.082025228,0.874850213
COOP:094648,JASPER 1 NNW GA US,446.5,34.4758,-84.4461,2,-98,-15,0,1,0.399714973,-0.227752016,-1.327945565, Normal, Normal, Dry,-0.122904541,0.978572819
COOP:081986,CRESTVIEW BOB SIKES AIRPORT FL US,57.9,30.77972,-86.5225,2,0,13,0,0,1.046672394,-1.063456767,-0.086111893, Warm, Low, Normal,-0.216932305,0.822496568
