Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DT90, DX32, Z (temp), Z (Elevation), Z (precip.),Temperature,Elevation,Precipitation,NORMALIZED LATITUDE,NORMALIZED LONGITUTE
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,7,0,25,31,0,1.60697239,2.277110889,0.139690722, Warm, Very High, Normal,-0.479294889,-0.873468137
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,7,-46,54,17,0,2.955228654,0.38698386,-0.260190805, Very Warm, Normal, Normal,1.594374202,-1.495554729
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,7,9,32,6,0,1.932413557,-0.378824942,0.217928412, Warm, Normal, Normal,1.895029267,-1.774510852
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,7,56,-9,3,0,0.02625815,-0.633521387,0.626503017, Normal, Normal, Normal,1.815354769,0.048825656
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,7,-257,-32,0,0,-1.043048542,-0.66963025,-2.094429986, Cold, Normal, Very Dry,1.144467744,0.683996776
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,7,-210,-33,4,0,-1.089540138,-0.297580001,-1.685855382, Cold, Normal, Dry,0.469517541,0.164458293
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,7,-56,34,18,0,2.025396748,0.721205776,-0.347121572, Very Warm, Normal, Normal,1.004972001,-1.754643425
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,7,20,-13,12,0,-0.159708232,-1.182677011,0.313552256, Normal, Low, Normal,-1.861962212,0.559904315
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,7,-181,6,28,0,0.723632079,-1.175369265,-1.433756158, Normal, Low, Dry,-1.88867459,0.552279193
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,7,0,-5,4,0,0.212224531,-1.064033604,0.139690722, Normal, Low, Normal,0.365805926,1.799272318
