Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DPT90, DX32,Normalized DPNT,Normalized Elevation,Normalized DPNP, DPNT Class, Elevation Class, DPNP Class, Normalized Latitude, Normalized Longitude, Latitude Class, Longitude Class
COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,6,79,9,21,0,5.26E-01,-1.172514341,0.094094117, Normal, Low, Normal,-0.235663299,0.41973047,Central,Central
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,6,-19,1,22,0,-0.221918801,2.280135128,-0.536708737, Normal, Very High, Normal,-0.060454855,-0.874228114,Central,Central
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,6,139,-6,0,0,-0.876404401,0.388502243,0.480299947, Normal, Normal, Normal,0.201861636,-1.496356416,Central,West
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,6,48,1,0,0,-0.221918801,-0.377916675,-0.105445561, Normal, Normal, Normal,0.239894118,-1.775331242,Central,West
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,6,183,13,0,0,0.900056513,-0.632816034,0.763517555, Normal, Normal, Normal,0.229815396,0.048127518,Central,Central
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,6,13,14,0,0,0.993554456,-0.668953665,-0.330732295, Normal, Normal, Normal,0.144949044,0.683341226,Central,Central
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,6,733,36,10,0,3.050509199,-0.296607006,4.303737657, Very Warm, Normal, Very Wet,0.059568705,0.163767908,Central,Central
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,6,-50,-9,0,0,-1.15689823,0.722990433,-0.736248416, Cold, Normal, Normal,0.127303011,-1.755462483,Central,West
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,6,137,-5,14,0,-0.782906458,-1.182409168,0.467426419, Normal, Low, Normal,-0.235360505,0.559240444,Central,Central
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,6,1,9,23,0,0.526064742,-1.1750956,-0.407973461, Normal, Low, Normal,-0.238739587,0.551614811,Central,Central
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,6,0,-8,0,0,-1.063400287,-1.063671239,-0.414410225, Cold, Low, Normal,0.046449319,1.798691546,Central,East
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,6,131,-8,0,0,-1.063400287,1.611373855,0.428805836, Cold, High, Normal,0.076883955,-0.42175134,Central,Central
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,6,261,-5,10,0,-0.782906458,0.983267416,1.265585133, Normal, Normal, Wet,-0.020857513,-0.293333879,Central,Central
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,6,513,6,0,0,0.245570913,-0.172061243,2.887649616, Normal, Normal, Very Wet,0.105262644,1.661655766,Central,East
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,6,-3,1,18,0,-0.221918801,-1.185635743,-0.433720516, Normal, Low, Normal,-0.236787964,0.542522711,Central,Central
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,6,-158,23,5,0,1.835035942,-0.293165327,-1.431418908, Warm, Normal, Dry,-0.043455376,1.064183677,Central,East
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,6,-217,-2,2,0,-0.50241263,-0.604637287,-1.811187974, Normal, Normal, Dry,-0.058363285,0.932791166,Central,Central
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,6,17,-29,0,0,-3.026857087,0.168880095,-0.30498524, Very Cold, Normal, Normal,0.221693386,-0.672810635,Central,Central
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,6,-288,13,24,0,0.900056513,-1.127987617,-2.268198205, Normal, Low, Very Dry,-0.188992277,1.190942149,Central,East
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,6,0,0,14,0,-0.315416744,-1.122609994,-0.414410225, Normal, Low, Normal,-0.198259307,1.173352055,Central,East
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,6,152,13,0,0,0.900056513,-0.755425853,0.563977876, Normal, Normal, Normal,0.142305319,0.715197419,Central,Central
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,6,-3,-12,24,0,-1.437392058,-0.423088713,-0.433720516, Cold, Normal, Normal,-0.149448368,-1.087174285,Central,West
COOP:478349,SUPERIOR US,192,46.7,-92.0167,6,101,-31,0,0,-3.213852973,-0.775215508,0.235702921, Very Cold, Normal, Normal,0.188312231,0.409743448,Central,Central
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,6,136,20,0,0,1.554542113,-0.627008201,0.460989655, Warm, Normal, Normal,0.096715705,0.673940791,Central,Central
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,6,4,7,16,0,0.339068856,0.669859511,-0.388663169, Normal, Normal, Normal,-0.057938355,-0.260522601,Central,Central
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,6,69,-33,0,0,-3.400848858,0.548540322,0.029726479, Very Cold, Normal, Normal,0.217077682,-0.992365259,Central,Central
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,6,36,-49,0,0,-4.896815944,0.565533613,-0.182686727, Very Cold, Normal, Normal,0.234067237,-0.927727869,Central,Central
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,6,0,0,0,0,-0.315416744,-0.809847404,-0.414410225, Normal, Normal, Normal,0.651253815,-3.791016111,Central,West
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,6,0,0,0,0,-0.315416744,0.468521283,-0.414410225, Normal, Normal, Normal,0.233165979,-0.850852616,Central,Central
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,6,197,1,6,0,-0.221918801,-0.660349467,0.853632248, Normal, Normal, Normal,-0.061472651,0.194165154,Central,Central
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,6,-102,12,18,0,0.80655857,-1.168642452,-1.070960134, Normal, Low, Dry,-0.152219317,1.364376413,Central,East
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,6,18,20,0,0,1.554542113,-0.576458539,-0.298548476, Warm, Normal, Normal,0.093339167,0.67047391,Central,Central
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,6,421,3,0,0,-0.034922915,-0.648518695,2.295467344, Normal, Normal, Very Wet,0.105827521,0.581944375,Central,Central
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,6,1067,6,0,0,0.245570913,-0.257242801,6.453616773, Normal, Normal, Very Wet,0.098766563,0.121255381,Central,Central
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,6,41,-21,0,0,-2.278873544,2.239480293,-0.150502908, Very Cold, Very High, Normal,0.150468041,-1.141553921,Central,West
COOP:233601,HANNIBAL WATER WORKS MO US,217,39.7233,-91.3719,6,192,12,2,0,0.80655857,-0.721439272,0.821448429, Normal, Normal, Normal,0.010790845,0.458234651,Central,Central
COOP:424467,KAMAS 3 NW UT US,1975.4,40.6438,-111.2822,6,-102,-10,0,0,-1.250396173,3.060966078,-1.070960134, Cold, Very High, Dry,0.034212869,-1.039089181,Central,West
COOP:242404,DILLON AIRPORT MT US,1585,45.2575,-112.5544,6,25,-17,0,0,-1.904881773,2.221196373,-0.253491129, Cold, Very High, Normal,0.151607972,-1.134763047,Central,West
COOP:243142,FORTINE 2 NE MT US,926.6,48.78222,-114.87667,6,0,0,0,0,-0.315416744,0.804945417,-0.414410225, Normal, Normal, Normal,0.241294096,-1.309405831,Central,West
COOP:468191,SISSONVILLE 1 SW WV US,187.5,38.51667,-81.64528,6,0,0,1,0,-0.315416744,-0.78489523,-0.414410225, Normal, Normal, Normal,-0.019911726,1.189710316,Central,East
COOP:116080,NEW BOSTON DAM 17 IL US,167,41.1924,-91.0579,6,63,10,2,0,0.619562685,-0.828991744,-0.008894104, Normal, Normal, Normal,0.048171938,0.481848544,Central,Central
COOP:345870,MINCO 2 SSW MESONET OK US,429.8,35.27222,-97.95528,6,0,0,7,0,-0.315416744,-0.263695949,-0.414410225, Normal, Normal, Normal,-0.102466409,-0.03685843,Central,Central
COOP:253735,HEBRON NE US,451.1,40.175,-97.5902,6,370,2,5,0,-0.128420858,-0.217878596,1.967192389, Normal, Normal, Wet,0.022284304,-0.009403143,Central,Central
COOP:426869,PINE VIEW DAM UT US,1505.7,41.2578,-111.8378,6,-32,-17,0,0,-1.904881773,2.050618152,-0.620386667, Cold, Very High, Normal,0.049836034,-1.080872234,Central,West
COOP:301309,CENTERPORT NY US,9.1,40.8838,-73.3722,6,-106,3,0,0,-0.034922915,-1.168642452,-1.09670719, Normal, Low, Dry,0.040319644,1.811874716,Central,East
COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,6,250,-5,0,0,-0.782906458,-1.11809279,1.194780731, Normal, Low, Wet,0.445445597,-2.667620523,Central,West
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,6,-21,12,27,0,0.80655857,1.505757327,-0.549582265, Normal, High, Normal,-0.054694131,-0.932698819,Central,Central
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,6,94,34,30,0,2.863513313,0.53800018,0.190645575, Very Warm, Normal, Normal,-0.253194831,-0.460984995,Central,Central
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,6,0,0,0,0,-0.315416744,-0.910301413,-0.414410225, Normal, Normal, Normal,0.531520581,-3.922781631,Central,West
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,6,0,0,0,0,-0.315416744,-0.848566294,-0.414410225, Normal, Normal, Normal,0.535731711,-3.90179234,Central,West
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,6,-278,-5,14,0,-0.782906458,-1.180258119,-2.203830567, Normal, Low, Very Dry,-0.542663567,2.287619446,Central,Far East
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,6,101,3,0,0,-0.034922915,-0.718858012,0.235702921, Normal, Normal, Normal,-0.087904806,0.403636925,Central,Central
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,6,320,14,1,0,0.993554456,-0.737787247,1.645354198, Normal, Normal, Wet,0.050461978,0.432973803,Central,Central
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,6,17,-29,0,1,-3.026857087,-1.146271538,-0.30498524, Very Cold, Low, Normal,0.789547063,-3.921578376,Central,West
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,6,613,18,0,0,1.367546228,-0.529350556,3.531325998, Warm, Normal, Very Wet,0.064044462,1.281487138,Central,East
COOP:417458,RAYMONDVILLE TX US,9.4,26.4819,-97.8097,6,-176,15,21,0,1.087052399,-1.167997137,-1.547280657, Warm, Low, Dry,-0.326135161,-0.025910307,Central,Central
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,6,357,-7,0,0,-0.969902344,-0.663791146,1.88351446, Normal, Normal, Wet,-0.075149281,0.381376696,Central,Central
COOP:049203,VACAVILLE NUT TREE AIRPORT CA US,33.2,38.3775,-121.9575,6,-15,5,18,0,0.15207297,-1.11680216,-0.510961682, Normal, Low, Normal,-0.023452892,-1.841908882,Central,West
COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,6,-41,-25,0,0,-2.652865316,0.106714766,-0.678317541, Very Cold, Normal, Normal,0.207487502,-0.51685366,Central,Central
