Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DT90, DX32, Z (temp), Z (Elevation), Z (precip.),Temperature,Elevation,Precipitation,NORMALIZED LATITUDE,NORMALIZED LONGITUTE
COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,5,-76,-24,0,0,-2.381491667,-1.172100034,-0.533332397, Very Cold, Low, Normal,-0.235679807,0.418930965
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,5,-43,-16,3,0,-1.702020491,2.280742968,-0.231534719, Cold, Very High, Normal,-0.060475157,-0.874650997
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,5,-45,30,0,0,2.204938773,0.389004051,-0.249825487, Very Warm, Normal, Normal,0.201835655,-1.496598221
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,5,19,12,0,0,0.676128626,-0.377457828,0.335479101, Normal, Normal, Normal,0.239867313,-1.775491848
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,5,105,-5,2,0,-0.767747624,-0.632371476,1.121982142, Normal, Normal, Wet,0.229788809,0.047436173
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,5,-86,5,0,0,0.081591347,-0.668511132,-0.624786239, Normal, Normal, Normal,0.144924295,0.682464993
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,5,-130,23,8,0,1.610401494,-0.296143601,-1.027183143, Warm, Normal, Dry,0.059545805,0.163042904
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,5,-66,15,0,0,0.930930317,0.723510989,-0.441878555, Normal, Normal, Normal,0.127278644,-1.755628872
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,5,252,-24,0,0,-2.381491667,-1.181995416,2.466353617, Very Cold, Low, Very Wet,-0.23537702,0.558400333
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,5,252,-13,6,0,-1.4472188,-1.174681438,2.466353617, Cold, Low, Very Wet,-0.238756028,0.55077692
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,5,93,16,0,0,1.015864214,-1.063250831,1.012237531, Warm, Low, Wet,0.046426702,1.797490678
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,5,183,-12,0,0,-1.362284903,1.611944208,1.835322108, Cold, High, Wet,0.07686068,-0.422305922
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,5,-247,0,1,0,-0.343078138,0.983802562,-2.097193093, Normal, Normal, Very Dry,-0.020878671,-0.293925838
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,5,11,16,0,0,1.015864214,-0.171590857,0.262316028, Warm, Normal, Normal,0.105238754,1.660494784
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,5,372,-17,0,0,-1.786954388,-1.185222171,3.56379972, Cold, Low, Very Wet,-0.236804447,0.541687466
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,5,-290,26,0,0,1.865203185,-0.292701729,-2.490444613, Warm, Normal, Very Dry,-0.043476046,1.063196596
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,5,-366,3,0,0,-0.088276447,-0.604191148,-3.185493812, Normal, Normal, Very Dry,-0.058383632,0.931842329
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,5,-5,-13,0,0,-1.4472188,0.169369592,0.115989881, Cold, Normal, Normal,0.221666975,-0.673292143
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,5,-47,12,15,0,0.676128626,-1.127570815,-0.268116255, Normal, Low, Normal,-0.189009795,1.189918174
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,5,0,0,6,0,-0.343078138,-1.12219289,0.161716802, Normal, Low, Normal,-0.198276624,1.1723332
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,5,-72,-15,0,0,-1.617086594,-0.754988167,-0.49675086, Cold, Normal, Normal,0.142280628,0.714311915
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,5,-14,-16,16,0,-1.702020491,-0.422632398,0.033681423, Cold, Normal, Normal,-0.149466743,-1.087535188
COOP:478349,SUPERIOR US,192,46.7,-92.0167,5,163,-20,0,0,-2.041756079,-0.774778931,1.652414425, Very Cold, Normal, Wet,0.188286542,0.40894685
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,5,17,6,0,0,0.166525244,-0.626563317,0.317188333, Normal, Normal, Normal,0.096692,0.673067295
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,5,-163,-3,14,0,-0.597879829,0.67037709,-1.328980821, Normal, Normal, Dry,-0.057958711,-0.261124111
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,5,-97,-6,0,0,-0.852681521,0.549051101,-0.725385465, Normal, Normal, Normal,0.217051371,-0.992753757
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,5,-135,-22,0,0,-2.211623873,0.566045344,-1.072910064, Very Cold, Normal, Dry,0.234040558,-0.92813518
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,5,0,0,0,0,-0.343078138,-0.809412768,0.161716802, Normal, Normal, Normal,0.651218103,-3.790590029
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,5,0,0,0,0,-0.343078138,0.469027576,0.161716802, Normal, Normal, Normal,0.23313932,-0.851282303
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,5,-67,-3,3,0,-0.597879829,-0.659906452,-0.451023939, Normal, Normal, Normal,-0.06149293,0.193431303
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,5,-43,19,9,0,1.270665906,-1.168227928,-0.231534719, Warm, Low, Normal,-0.152237632,1.363301957
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,5,261,10,0,0,0.506260832,-0.576010821,2.548662075, Normal, Normal, Very Wet,0.093315536,0.669601423
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,5,-122,0,0,0,-0.343078138,-0.648075017,-0.95402007, Normal, Normal, Normal,0.105803619,0.581097655
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,5,-225,-1,1,0,-0.428012035,-0.25677719,-1.895994641, Normal, Normal, Dry,0.098742814,0.120542751
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,5,-63,11,0,0,0.591194729,2.240085855,-0.414442402, Normal, Very High, Normal,0.150443173,-1.141898996
COOP:233601,HANNIBAL WATER WORKS MO US,217,39.7233,-91.3719,5,-198,6,0,0,0.166525244,-0.72099968,-1.649069268, Normal, Normal, Dry,0.010769001,0.457423939
COOP:424467,KAMAS 3 NW UT US,1975.4,40.6438,-111.2822,5,0,0,0,0,-0.343078138,3.061617686,0.161716802, Normal, Very High, Normal,0.034190518,-1.039464079
COOP:242404,DILLON AIRPORT MT US,1585,45.2575,-112.5544,5,-44,20,0,0,1.355599803,2.22180091,-0.240680103, Warm, Very High, Normal,0.151583079,-1.135110098
COOP:243142,FORTINE 2 NE MT US,926.6,48.78222,-114.87667,5,0,0,0,0,-0.343078138,0.805470567,0.161716802, Normal, Normal, Normal,0.24126726,-1.30970205
