Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DT90, DX32, Z (temp), Z (Elevation), Z (precip.),Temperature,Elevation,Precipitation,NORMALIZED LATITUDE,NORMALIZED LONGITUTE
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,10,0,29,0,0,0.645633989,2.281502989,-0.076897715, Normal, Very High, Normal,-0.479627997,-0.876015936
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,10,37,57,0,0,2.34986262,0.388815509,0.250708522, Very Warm, Normal, Normal,1.595106521,-1.49875046
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,10,190,25,0,0,0.402172756,-0.378030691,1.605404587, Normal, Normal, Wet,1.895916059,-1.777997129
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,10,-146,28,0,0,0.584768681,-0.633072159,-1.369614221, Normal, Normal, Dry,1.816200626,0.04723847
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,10,127,1,0,0,-1.058594642,-0.669229936,1.04758856, Cold, Normal, Wet,1.144968907,0.683071151
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,10,56,36,0,0,1.071691147,-0.296675692,0.418938753, Warm, Normal, Normal,0.469671922,0.162991544
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,10,5,66,0,0,2.897650395,0.723490178,-0.032626602, Very Warm, Normal, Normal,1.005401492,-1.758109009
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,10,-146,19,1,0,0.036980907,-1.182971694,-1.369614221, Normal, Low, Dry,-1.863005719,0.558849442
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,10,-187,21,6,0,0.158711523,-1.175654048,-1.732637349, Normal, Low, Dry,-1.889731822,0.551216378
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,10,0,15,0,0,-0.206480326,-1.064167567,-0.076897715, Normal, Low, Normal,0.365907021,1.799508306
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,10,-82,33,0,0,0.889095222,1.612368878,-0.802943972, Normal, High, Normal,0.606623076,-0.423098254
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,10,63,32,0,0,0.828229914,0.983912266,0.480918311, Normal, Normal, Normal,-0.166441537,-0.294555659
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,10,96,37,0,0,1.132556455,-0.172060494,0.773107658, Warm, Normal, Normal,0.831078068,1.662338994
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,10,-170,13,1,0,-0.328210943,-1.186200067,-1.582115564, Normal, Low, Dry,-1.874295887,0.542115418
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,10,458,-12,0,0,-1.849843649,-0.293232094,3.978336254, Cold, Normal, Very Wet,-0.345174365,1.064284708
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,10,0,0,0,0,-1.11945995,-0.604877701,-0.076897715, Cold, Normal, Normal,-0.463085183,0.932764164
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,10,-18,41,0,0,1.376017688,0.16907092,-0.236273723, Warm, Normal, Normal,1.751961377,-0.674402189
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,10,-142,15,1,0,-0.206480326,-1.128519802,-1.33419733, Normal, Low, Dry,-1.496266426,1.191166698
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,10,0,0,0,0,-1.11945995,-1.123139181,-0.076897715, Cold, Low, Normal,-1.569561959,1.173559464
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,10,31,-7,0,0,-1.545517108,-0.755750333,0.197583187, Cold, Normal, Normal,1.124058951,0.714958387
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,10,-45,-4,22,0,-1.362921183,-0.423227913,-0.475337734, Cold, Normal, Normal,-1.183502592,-1.089169609
COOP:478349,SUPERIOR US,192,46.7,-92.0167,10,-113,0,0,0,-1.11945995,-0.775551021,-1.077424874, Cold, Normal, Dry,1.487940482,0.409206771
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,10,-106,-7,0,0,-1.545517108,-0.627261087,-1.015445315, Cold, Normal, Dry,0.763477932,0.673661556
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,10,119,46,4,0,1.68034423,0.670329635,0.976754779, Warm, Normal, Normal,-0.459724295,-0.261712408
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,10,-21,59,0,0,2.471593237,0.54894281,-0.262836391, Very Warm, Normal, Normal,1.715454486,-0.994268198
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,10,34,36,0,0,1.071691147,0.565945575,0.224145855, Warm, Normal, Normal,1.849829631,-0.929567823
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,10,0,0,0,17,-1.11945995,-0.810202224,-0.076897715, Cold, Normal, Normal,5.149474996,-3.795646149
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,10,0,0,0,0,-1.11945995,0.46887916,-0.076897715, Cold, Normal, Normal,1.842701328,-0.85261766
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,10,384,39,0,0,1.254287072,-0.660620942,3.323123779, Warm, Normal, Very Wet,-0.487678028,0.19341841
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,10,-254,13,0,0,-0.328210943,-1.169197302,-2.325870266, Normal, Low, Very Dry,-1.205418802,1.364769962
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,10,-112,1,0,0,-1.058594642,-0.576683243,-1.068570651, Cold, Normal, Dry,0.736771954,0.670191298
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,10,103,-1,0,0,-1.180325258,-0.648783574,0.835087217, Cold, Normal, Normal,0.835545836,0.581575496
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,10,-93,29,0,0,0.645633989,-0.257289541,-0.900340421, Normal, Normal, Normal,0.779698745,0.120437592
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,10,-61,37,0,0,1.132556455,2.240825489,-0.617005296, Warm, Very High, Normal,1.1886202,-1.143602234
COOP:233601,HANNIBAL WATER WORKS MO US,217,39.7233,-91.3719,10,371,-1,0,0,-1.180325258,-0.721744804,3.208018885, Cold, Normal, Very Wet,0.083874181,0.457745225
COOP:424467,KAMAS 3 NW UT US,1975.4,40.6438,-111.2822,10,-143,30,0,0,0.706499298,3.062769256,-1.343051553, Normal, Very High, Dry,0.269125522,-1.041037649
COOP:242404,DILLON AIRPORT MT US,1585,45.2575,-112.5544,10,-50,58,0,0,2.410727929,2.222531376,-0.519608847, Very Warm, Very High, Normal,1.197636235,-1.136804743
COOP:243142,FORTINE 2 NE MT US,926.6,48.78222,-114.87667,10,0,0,0,0,-1.11945995,0.805490852,-0.076897715, Cold, Normal, Normal,1.906988877,-1.311617704
COOP:468191,SISSONVILLE 1 SW WV US,187.5,38.51667,-81.64528,10,0,0,0,0,-1.11945995,-0.78523614,-0.076897715, Cold, Normal, Normal,-0.158961045,1.189933665
COOP:116080,NEW BOSTON DAM 17 IL US,167,41.1924,-91.0579,10,245,-2,0,0,-1.241190566,-0.829357237,2.092386832, Cold, Normal, Very Wet,0.379531698,0.481382128
COOP:345870,MINCO 2 SSW MESONET OK US,429.8,35.27222,-97.95528,10,0,0,4,0,-1.11945995,-0.263746287,-0.076897715, Cold, Normal, Normal,-0.811909131,-0.037830291
COOP:253735,HEBRON NE US,451.1,40.175,-97.5902,10,74,21,0,0,0.158711523,-0.21790339,0.57831476, Normal, Normal, Normal,0.174779157,-0.010348251
COOP:426869,PINE VIEW DAM UT US,1505.7,41.2578,-111.8378,10,-261,26,0,0,0.463038065,2.051858056,-2.387849825, Normal, Very High, Very Dry,0.392693499,-1.082861417
COOP:301309,CENTERPORT NY US,9.1,40.8838,-73.3722,10,-56,21,0,0,0.158711523,-1.169197302,-0.572734183, Normal, Low, Normal,0.317425708,1.812704322
COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,10,26,29,0,0,0.645633989,-1.118619458,0.153312073, Normal, Low, Normal,3.521680217,-2.671155886
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,10,-41,34,0,0,0.949960531,1.506693468,-0.439920844, Normal, High, Normal,-0.434064821,-0.934543617
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,10,-112,27,18,0,0.523903373,0.538396792,-1.068570651, Normal, Normal, Dry,-2.004062389,-0.46237014
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,10,0,0,0,0,-1.11945995,-0.910712237,-0.076897715, Cold, Normal, Normal,4.202471348,-3.927540066
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,10,0,0,0,0,-1.11945995,-0.8489427,-0.076897715, Cold, Normal, Normal,4.235778352,-3.906530322
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,10,-329,-4,9,0,-1.362921183,-1.180819445,-2.989936964, Cold, Low, Very Dry,-4.293551612,2.288912634
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,10,70,28,1,0,0.584768681,-0.719162105,0.54289787, Normal, Normal, Normal,-0.696737336,0.403094298
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,10,109,-8,0,0,-1.606382416,-0.738101894,0.888212553, Cold, Normal, Normal,0.397644268,0.432459762
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,10,111,54,0,28,2.167266696,-1.146813916,0.905920998, Very Warm, Low, Normal,6.243274985,-3.926335638
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,10,95,10,0,0,-0.510806867,-0.529548998,0.764253436, Normal, Normal, Normal,0.505071933,1.281799917
COOP:417458,RAYMONDVILLE TX US,9.4,26.4819,-97.8097,10,0,0,7,0,-1.11945995,-1.168551627,-0.076897715, Cold, Low, Normal,-2.580967868,-0.0268715
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,10,250,19,0,0,0.036980907,-0.664064539,2.136657945, Normal, Normal, Very Wet,-0.595850321,0.380812377
COOP:049203,VACAVILLE NUT TREE AIRPORT CA US,33.2,38.3775,-121.9575,10,-40,35,10,0,1.010825839,-1.117328109,-0.431066621, Warm, Low, Normal,-0.186969116,-1.844639645
COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,10,-60,34,0,0,0.949960531,0.106870934,-0.608151074, Normal, Normal, Normal,1.639603068,-0.518293245
COOP:405035,LANCASTER EDGAR EVINS TN US,192,36.0827,-85.826,10,902,7,0,0,-0.693402792,-0.775551021,7.909611107, Normal, Normal, Very Wet,-0.648799401,0.875222609
COOP:094648,JASPER 1 NNW GA US,446.5,34.4758,-84.4461,10,254,-1,0,0,-1.180325258,-0.227803734,2.172074836, Cold, Normal, Very Wet,-0.972189276,0.97909701
COOP:081986,CRESTVIEW BOB SIKES AIRPORT FL US,57.9,30.77972,-86.5225,10,-183,2,3,0,-0.997729333,-1.064167567,-1.697220459, Normal, Low, Dry,-1.716028251,0.822792345
COOP:518549,PUU O HOKU RANCH 542.1 HI US,205.4,21.1447,-156.7329,10,0,0,0,0,-1.11945995,-0.746710888,-0.076897715, Cold, Normal, Normal,-3.65508352,-4.462419084
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,10,189,24,0,0,0.341307448,-1.180819445,1.596550364, Normal, Low, Wet,0.614632857,1.990477919
COOP:020100,ALAMO DAM AZ US,393.2,34.228,-113.5777,10,-53,18,24,0,-0.023884401,-0.342518588,-0.546171515, Normal, Normal, Normal,-1.022059219,-1.213835451
COOP:461579,CHARLESTON WSFO WV US,279.8,38.3138,-81.7186,10,223,5,0,0,-0.815133409,-0.586583587,1.897593934, Normal, Normal, Wet,-0.199788791,1.184414373
COOP:081978,CRESCENT CITY FL US,16.2,29.425,-81.5161,10,-249,-16,0,0,-2.093304882,-1.153916337,-2.281599153, Very Cold, Low, Very Dry,-1.988666704,1.199657917
COOP:461570,CHARLESTON YEAGER AIRPORT WV US,277.4,38.3794,-81.59,10,181,-7,0,0,-1.545517108,-0.591748984,1.525716583, Cold, Normal, Wet,-0.18658674,1.194094964
COOP:138693,WASHTA IA US,353.6,42.5738,-95.7133,10,0,0,0,0,-1.11945995,-0.427747636,-0.076897715, Cold, Normal, Normal,0.657539523,0.1309387
COOP:035018,MOUNTAINBURG 2 NE AR US,241.7,35.6494,-94.1541,10,383,25,0,0,0.402172756,-0.668584262,3.314269556, Normal, Normal, Very Wet,-0.736001363,0.248310224
COOP:411761,CLARENDON TX US,850.4,34.9414,-100.9126,10,-168,27,5,0,0.523903373,0.641489503,-1.564407119, Normal, Normal, Dry,-0.878486914,-0.260447759
COOP:356820,POWERS OR US,70.1,42.8886,-124.0688,10,359,0,0,0,-1.11945995,-1.037910133,3.101768213, Cold, Low, Very Wet,0.720893268,-2.003571468
COOP:099291,WEST POINT GA US,175.3,32.879,-85.1809,10,0,0,0,0,-1.11945995,-0.811493573,-0.076897715, Cold, Normal, Normal,-1.293546518,0.923783647
COOP:042012,CORCORAN IRRIG DIST CA US,61,36.0975,-119.5817,10,32,40,11,0,1.31515238,-1.057495596,0.206437409, Warm, Low, Normal,-0.645820889,-1.665797118
COOP:348900,TISHOMINGO 6 N MESONET OK US,267.9,34.3326,-96.679,10,0,0,3,0,-1.11945995,-0.612195347,-0.076897715, Cold, Normal, Normal,-1.001008387,0.058243933
COOP:503304,GLENNALLEN KCAM AK US,421.5,62.1086,-145.5328,10,92,-29,0,20,-2.884553889,-0.281609951,0.737690768, Very Cold, Normal, Normal,4.588933217,-3.619311845
COOP:205390,MERRILL 1 N MI US,203.6,43.4155,-83.2894,10,0,0,0,0,-1.11945995,-0.750584936,-0.076897715, Cold, Normal, Normal,0.826932302,1.066169638
COOP:067958,STAFFORDVILLE CT US,224.3,41.9984,-72.2606,10,-24,22,0,0,0.219576832,-0.706033388,-0.289399059, Normal, Normal, Normal,0.541739825,1.896381969
COOP:036928,SUBIACO AR US,152.4,35.3028,-93.6369,10,157,16,1,0,-0.145615018,-0.860780068,1.313215239, Normal, Normal, Wet,-0.805754883,0.287243364
COOP:252680,ELSMERE NE US,808.9,42.1717,-100.0106,10,-75,32,0,0,0.828229914,0.552171183,-0.740964413, Normal, Normal, Normal,0.576616585,-0.192548121
COOP:167738,RED RIVER RESEARCH STATION LA US,47.2,32.4219,-93.638,10,-112,29,4,0,0.645633989,-1.087196628,-1.068570651, Normal, Low, Dry,-1.385538248,0.28716056
COOP:247342,SAND CREEK MT US,887,47.5775,-108.7272,10,-77,46,0,0,1.68034423,0.720261805,-0.758672859, Warm, Normal, Normal,1.66453804,-0.848705527
COOP:036920,STUTTGART 9 ESE AR US,60.4,34.4744,-91.4172,10,-36,37,0,0,1.132556455,-1.058786945,-0.39564973, Warm, Low, Normal,-0.972471027,0.454335188
COOP:020159,ALPINE AZ US,2453.6,33.8492,-109.1469,10,-37,31,0,0,0.767364606,4.091974569,-0.404503953, Normal, Very High, Normal,-1.098293013,-0.880299183
COOP:348879,TIPTON 4 S OK US,386.8,34.43972,-99.1375,10,0,0,8,0,-1.11945995,-0.35629298,-0.076897715, Cold, Normal, Normal,-0.979450404,-0.126823982
COOP:511303,HAWAII VOL NATIONAL PARK HQ 54 HI US,1210.4,19.4297,-155.2562,10,-39,0,0,0,-1.11945995,1.416299024,-0.422212398, Cold, High, Normal,-4.000228603,-4.351257893
COOP:340830,BLANCHARD 2 SSW OK US,388.6,35.11833,-97.67,10,-55,37,4,0,1.132556455,-0.352418932,-0.56387996, Warm, Normal, Normal,-0.842879614,-0.016355337
