Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DPT90, DX32,Normalized DPNT,Normalized Elevation,Normalized DPNP, DPNT Class, Elevation Class, DPNP Class, Normalized Latitude, Normalized Longitude, Latitude Class, Longitude Class
COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,9,-246,20,19,0,1.091045353,-1.172806797,-2.048588124, Warm, Low, Very Dry,-1.862922347,0.419296271,South,Central
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,9,40,20,6,0,1.091045353,2.282024696,0.369668187, Warm, Very High, Normal,-0.478751039,-0.875454807,Central,Central
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,9,-35,29,0,0,1.833530196,0.389196327,-0.264489937, Warm, Normal, Normal,1.593586069,-1.497964137,North,West
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,9,47,15,0,0,0.678553773,-0.377706957,0.428856278, Normal, Normal, Normal,1.894048013,-1.777109823,North,West
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,9,-23,20,0,0,1.091045353,-0.632767409,-0.163024637, Warm, Normal, Normal,1.814424693,0.047465728,North,Central
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,9,351,-1,0,0,-0.641419281,-0.668927878,2.999310539, Normal, Normal, Very Wet,1.1439686,0.683068477,North,Central
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,9,113,8,1,0,0.101065562,-0.296345901,0.986915427, Normal, Normal, Normal,0.469451939,0.163176943,Central,Central
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,9,7,29,3,0,1.833530196,0.723895908,0.090638612, Warm, Normal, Normal,1.00456246,-1.757228895,North,West
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,9,80,11,11,0,0.34856051,-1.182707878,0.707885853, Normal, Low, Normal,-1.86053023,0.558891689,South,Central
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,9,-306,20,20,0,1.091045353,-1.175389688,-2.555914623, Warm, Low, Very Dry,-1.887225451,0.551261386,South,Central
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,9,0,6,2,0,-0.06393107,-1.063894908,0.031450521, Normal, Low, Normal,0.365806941,1.799101902,Central,East
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,9,312,0,1,0,-0.558920965,1.612840776,2.669548315, Normal, High, Very Wet,0.606244842,-0.422700911,Central,Central
COOP:144665,LEOTI 1 SE KS US,1009.5,38.4795,-101.3657,9,-28,27,6,0,1.668533564,0.984337383,-0.205301845, Warm, Normal, Normal,-0.165926473,-0.2942048,Central,Central
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,9,-143,6,0,0,-0.06393107,-0.171721427,-1.177677634, Normal, Normal, Dry,0.830440471,1.661982193,Central,East
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,9,-112,19,15,0,1.008547037,-1.185936491,-0.915558943, Warm, Low, Normal,-1.871807353,0.542163717,South,Central
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,9,-111,3,0,0,-0.311426018,-0.292902047,-0.907103502, Normal, Normal, Normal,-0.344452771,1.064144178,Central,East
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,9,-256,12,0,0,0.431058826,-0.604570853,-2.13314254, Normal, Normal, Very Dry,-0.46222734,0.932671195,Central,Central
COOP:243176,FORT PECK POWER PLAN MT US,630.9,48.0119,-106.4117,9,-47,-10,1,0,-1.383904124,0.169435381,-0.365955236, Cold, Normal, Normal,1.750259675,-0.673913969,North,Central
COOP:093538,FORT STEWART GA US,28,31.8717,-81.6289,9,168,31,9,0,1.998526828,-1.128251933,1.451964718, Warm, Low, Wet,-1.494214715,1.190980284,South,East
COOP:094676,JESUP 8 S GA US,30.5,31.5075,-81.8628,9,0,0,0,0,-0.558920965,-1.122870911,0.031450521, Normal, Low, Normal,-1.567425553,1.173379417,South,East
COOP:476208,OCONTO 4 W WI US,201.2,44.8919,-87.955,9,344,-8,0,0,-1.218907492,-0.755454715,2.940122447, Cold, Normal, Very Wet,1.123082806,0.714944181,North,Central
COOP:028499,TEMPE ASU AZ US,355.7,33.4258,-111.9216,9,543,-7,23,0,-1.136409177,-0.422907543,4.622755335, Cold, Normal, Very Wet,-1.181812288,-1.0885314,South,West
COOP:478349,SUPERIOR US,192,46.7,-92.0167,9,-191,0,0,0,-0.558920965,-0.775256877,-1.583538833, Normal, Normal, Dry,1.486543863,0.409303132,North,Central
COOP:476200,OCONOMOWOC WI US,260.9,43.1002,-88.5036,9,-239,-6,0,0,-1.053910861,-0.626955905,-1.989400032, Cold, Normal, Dry,0.762918449,0.673662284,Central,Central
COOP:144695,LIBERAL KS US,863.8,37.0222,-100.9294,9,-46,11,10,0,0.34856051,0.670731409,-0.357499795, Normal, Normal, Normal,-0.458870336,-0.261373426,Central,Central
COOP:243113,FORT BENTON MT US,807.4,47.8305,-110.6609,9,37,3,2,0,-0.311426018,0.549335548,0.344301862, Normal, Normal, Normal,1.713794969,-0.993664307,North,Central
COOP:243110,FORT ASSINNIBOINE MT US,815.3,48.4982,-109.8014,9,-46,-15,1,0,-1.796395704,0.566339578,-0.357499795, Cold, Normal, Normal,1.848014839,-0.928987329,North,Central
COOP:503368,GOLDSTREAM CREEK AK US,175.9,64.89389,-147.87528,9,0,0,0,0,-0.558920965,-0.80991066,0.031450521, Normal, Normal, Normal,5.143847375,-3.794029214,Far North,West
COOP:243118,FORT BELKNAP 2 SW MT US,770.2,48.46278,-108.77917,9,0,0,0,0,-0.558920965,0.469265938,0.031450521, Normal, Normal, Normal,1.840894773,-0.852064993,North,Central
COOP:345855,MIAMI OK US,245.4,36.8833,-94.8833,9,-167,-3,7,0,-0.806415913,-0.660318243,-1.380608234, Normal, Normal, Dry,-0.486791768,0.193592806,Central,Central
COOP:383470,GEORGETOWN CO AIRPORT SC US,9.1,33.3169,-79.3227,9,-10,7,8,0,0.018567246,-1.168932461,-0.053103895, Normal, Low, Normal,-1.203703173,1.364520769,South,East
COOP:478316,MILWAUKEE WSFO DOUSMAN WI US,284.4,42.9675,-88.5497,9,-217,-10,0,0,-1.383904124,-0.576374296,-1.803380316, Cold, Normal, Dry,0.73624333,0.670193281,Central,Central
COOP:470516,BARABOO WI US,250.9,43.4583,-89.7269,9,-141,9,0,0,0.183563878,-0.648479994,-1.160766751, Normal, Normal, Dry,0.834903076,0.581609524,Central,Central
COOP:137594,SHELDON IA US,432.8,43.1808,-95.8528,9,-108,4,0,0,-0.228927702,-0.256956818,-0.881737177, Normal, Normal, Normal,0.779120518,0.120638379,Central,Central
COOP:242409,DILLON WMCE MT US,1593.5,45.2127,-112.6447,9,22,-3,0,0,-0.806415913,2.241344168,0.217470237, Normal, Very High, Normal,1.187569454,-1.142944341,North,West
COOP:233601,HANNIBAL WATER WORKS MO US,217,39.7233,-91.3719,9,263,-10,3,0,-1.383904124,-0.721446655,2.255231674, Cold, Normal, Very Wet,0.084099997,0.457824034,Central,Central
COOP:424467,KAMAS 3 NW UT US,1975.4,40.6438,-111.2822,9,256,16,0,0,0.761052089,3.06334912,2.196043582, Normal, Very High, Very Wet,0.269137276,-1.040416845,Central,West
COOP:242404,DILLON AIRPORT MT US,1585,45.2575,-112.5544,9,-1,11,0,0,0.34856051,2.223048693,0.022995079, Normal, Very High, Normal,1.19657507,-1.136149307,North,West
COOP:243142,FORTINE 2 NE MT US,926.6,48.78222,-114.87667,9,0,0,0,0,-0.558920965,0.805902686,0.031450521, Normal, Normal, Normal,1.905108036,-1.310899052,North,West
COOP:468191,SISSONVILLE 1 SW WV US,187.5,38.51667,-81.64528,9,0,0,0,0,-0.558920965,-0.784942717,0.031450521, Normal, Normal, Normal,-0.158454626,1.189747697,Central,East
COOP:116080,NEW BOSTON DAM 17 IL US,167,41.1924,-91.0579,9,103,-13,1,0,-1.631399072,-0.829067099,0.902361011, Cold, Normal, Normal,0.379415875,0.481452389,Central,Central
COOP:345870,MINCO 2 SSW MESONET OK US,429.8,35.27222,-97.95528,9,0,0,8,0,-0.558920965,-0.263414045,0.031450521, Normal, Normal, Normal,-0.810648213,-0.03757227,Central,Central
COOP:253735,HEBRON NE US,451.1,40.175,-97.5902,9,-37,-8,3,0,-1.218907492,-0.217567736,-0.28140082, Cold, Normal, Normal,0.174899931,-0.010100169,Central,Central
COOP:426869,PINE VIEW DAM UT US,1505.7,41.2578,-111.8378,9,9,31,0,0,1.998526828,2.052362669,0.107549496, Warm, Very High, Normal,0.392562467,-1.082225488,Central,West
COOP:301309,CENTERPORT NY US,9.1,40.8838,-73.3722,9,-177,12,0,0,0.431058826,-1.168932461,-1.46516265, Normal, Low, Dry,0.31738165,1.812293146,Central,East
COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,9,157,29,0,0,1.833530196,-1.118350852,1.358954859, Warm, Low, Wet,3.517933557,-2.669945593,Far North,West
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,9,34,35,21,0,2.328520091,1.507157499,0.318935537, Very Warm, High, Normal,-0.433240512,-0.933961323,Central,Central
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,9,127,-6,18,0,-1.053910861,0.538788744,1.10529161, Cold, Normal, Wet,-2.001423906,-0.461958595,Far South,Central
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,9,0,0,0,0,-0.558920965,-0.910428154,0.031450521, Normal, Normal, Normal,4.197938016,-3.925875435,Far North,West
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,9,0,0,0,0,-0.558920965,-0.84865402,0.031450521, Normal, Normal, Normal,4.231206533,-3.904873288,Far North,West
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,9,-54,-10,15,0,-1.383904124,-1.180555469,-0.425143328, Cold, Low, Normal,-4.288267563,2.288329249,Far South,Far East
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,9,-299,0,5,0,-0.558920965,-0.718863764,-2.496726531, Normal, Normal, Very Dry,-0.695609502,0.40319287,Central,Central
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,9,404,-14,1,0,-1.713897388,-0.737804962,3.447448946, Cold, Normal, Very Wet,0.397507515,0.432547714,Central,Central
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,9,6,-11,0,0,-1.46640244,-1.146547409,0.082183171, Cold, Low, Normal,6.23638345,-3.924671442,Far North,West
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,9,-111,0,0,0,-0.558920965,-0.529236542,-0.907103502, Normal, Normal, Normal,0.504811045,1.281580728,Central,East
COOP:417458,RAYMONDVILLE TX US,9.4,26.4819,-97.8097,9,0,0,7,0,-0.558920965,-1.168286738,0.031450521, Normal, Low, Normal,-2.577662756,-0.026617442,Far South,Central
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,9,-74,-12,3,0,-1.548900756,-0.663762097,-0.594252161, Cold, Normal, Normal,-0.594839065,0.380919006,Central,Central
