DPNT Distribution,Very Dry,Dry,Average,Wet,Very Wet,Total,,
Very Warm,360,3466,7959,560,44,12389,,
Warm,710,7881,24492,2204,224,35511,,
Average,678,10698,19923,2800,370,34469,,
Cold,298,8813,17880,2118,248,29357,,
Very Cold,168,2710,7727,990,142,11737,,
Total,2214,33568,77981,8672,1028,123463,,
,,,,,,,,
Expected,Very Dry,Dry,Average,Wet,Very Wet,,,
Very Warm,222.1657177,3368.40958,7825.069932,870.1992338,103.1555365,,,
Warm,636.8009363,9654.983663,22429.25647,2494.280813,295.6781222,,,
Average,618.1152734,9371.67728,21771.11433,2421.09108,287.002033,,,
Cold,526.4443436,7981.790302,18542.30188,2062.025902,244.4375724,,,
Very Cold,210.473729,3191.139175,7413.257389,824.4029709,97.72673595,,,
