Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DPT90, DX32,Normalized DPNT,Normalized Elevation,Normalized DPNP, DPNT Class, Elevation Class, DPNP Class, Normalized Latitude, Normalized Longitude, Latitude Class, Longitude Class
COOP:166657,NEW IBERIA AIRPORT ACADIANA REGIONAL LA US,7.3,30.0375,-91.8839,4,-180,4,0,0,0.496227459,-1.172008956,-1.817466658, Normal, Low, Dry,-0.235741166,0.419402924,Central,Central
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,4,-62,6,0,0,0.65565899,2.278216905,-0.836794874, Normal, Very High, Normal,-0.060550597,-0.873432983,Central,Central
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,4,80,2,0,0,0.336795929,0.387911863,0.343335578, Normal, Normal, Normal,0.201739132,-1.495021508,Central,West
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,4,131,-2,0,0,0.017932868,-0.377969063,0.767185247, Normal, Normal, Normal,0.239767734,-1.773754288,Central,West
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,4,275,-67,0,3,-5.163591877,-0.632689494,1.963937255, Very Cold, Normal, Wet,0.22969004,0.048122386,Central,Central
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,4,128,-42,0,1,-3.170697744,-0.668801758,0.742252914, Very Cold, Normal, Normal,0.144832346,0.682784963,Central,Central
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,4,31,4,0,0,0.496227459,-0.29671647,-0.063892536, Normal, Normal, Normal,0.059460719,0.163662443,Central,Central
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,4,20,6,0,0,0.65565899,0.722165256,-0.155311092, Normal, Normal, Normal,0.127188113,-1.753902768,Central,West
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,4,-165,-11,0,0,-0.69950902,-1.181896838,-1.692804991, Normal, Low, Dry,-0.235438402,0.558791855,Central,Central
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,4,-196,3,0,0,0.416511694,-1.174588404,-1.950439103, Normal, Low, Dry,-0.238817139,0.551172839,Central,Central
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,4,3,-18,0,0,-1.257519377,-1.063242257,-0.296594315, Cold, Low, Normal,0.04634267,1.797167573,Central,East
