Station, Station Name, Elevation, Latitude, Longitude, Date, DPNP, DPNT, DPT90, DX32,Normalized DPNT,Normalized Elevation,Normalized DPNP, DPNT Class, Elevation Class, DPNP Class, Normalized Latitude, Normalized Longitude, Latitude Class, Longitude Class
COOP:028468,TEEC NOS POS AZ US,1612.4,36.9233,-109.09,1,-76,28,0,0,1.603453463,2.278701671,-0.117176655, Warm, Very High, Normal,-0.060863546,-0.873948035,Central,Central
COOP:457180,ROSALIA WA US,733,47.2325,-117.3626,1,-73,6,0,8,0.839016132,0.387669506,-0.085586386, Normal, Normal, Normal,0.201356263,-1.49585312,Central,West
COOP:457185,ROSS DAM WA US,376.7,48.7272,-121.0722,1,-28,28,0,1,1.603453463,-0.378506024,0.38826765, Warm, Normal, Normal,0.239374727,-1.774727851,Central,West
COOP:210252,ARGYLE MN US,258.2,48.3311,-96.8252,1,46,-70,0,29,-1.801767375,-0.633324436,1.167494287, Cold, Normal, Wet,0.229299719,0.048076659,Central,Central
COOP:478376,SURING WI US,241.4,44.9958,-88.3786,1,26,-80,0,29,-2.14923889,-0.669450591,0.956892493, Very Cold, Normal, Normal,0.144464647,0.683062454,Central,Central
COOP:133632,HARLAN 1 N IA US,414.5,41.6403,-95.2875,1,-74,-37,0,15,-0.655111379,-0.297222176,-0.096116475, Normal, Normal, Normal,0.059115777,0.163675558,Central,Central
COOP:356883,PRINEVILLE OR US,888.5,44.3023,-120.808,1,-46,27,0,3,1.568706312,0.722051473,0.198726036, Warm, Normal, Normal,0.126825118,-1.754866221,Central,West
COOP:166667,NEW ORLEANS LAKEFRONT AIRPORT LA US,2.7,30.0494,-90.0288,1,-236,-53,0,0,-1.211065801,-1.182743038,-1.801991005, Cold, Low, Dry,-0.23570473,0.5590062,Central,Central
COOP:166664,NEW ORLEANS AUDUBON LA US,6.1,29.9166,-90.1302,1,-266,-57,0,0,-1.350054407,-1.175431792,-2.117893695, Cold, Low, Very Dry,-0.239082567,0.551383303,Central,Central
COOP:067970,STAMFORD 5 N CT US,57.9,41.1247,-73.5475,1,-76,-37,0,15,-0.655111379,-1.064042815,-0.117176655, Normal, Low, Normal,0.046001226,1.798012591,Central,East
COOP:253755,HEMINGFORD NE US,1301.5,42.3208,-103.0733,1,14,0,0,8,0.630533223,1.610152774,0.830531417, Normal, High, Normal,0.076424645,-0.421633609,Central,Central
COOP:144665,LEOTI 1 SE KS US,1009.5,38.47944,-101.36583,1,-16,-12,0,7,0.213567407,0.982245801,0.514628726, Normal, Normal, Normal,-0.021282324,-0.293271996,Central,Central
COOP:300785,BOONVILLE 4 SSW NY US,472.4,43.4361,-75.3697,1,-82,-40,0,25,-0.759352833,-0.172715965,-0.180357193, Normal, Normal, Normal,0.104792875,1.66102598,Central,East
COOP:166660,NEW ORLEANS INTERNATIONAL AIRPORT LA US,1.2,29.9933,-90.2511,1,-243,-64,0,0,-1.593284467,-1.185968587,-1.875701633, Cold, Low, Dry,-0.237131663,0.542294465,Central,Central
COOP:154202,JACKSON JULIAN CARROLL AIRPORT KY US,416.1,37.59139,-83.31444,1,-46,-70,0,7,-1.801767375,-0.29378159,0.198726036, Cold, Normal, Normal,-0.043870333,1.063768261,Central,East
COOP:154208,JAMESTOWN KY US,271.3,37.0055,-85.0616,1,-65,-76,0,9,-2.010250284,-0.605154637,-0.001345668, Very Cold, Normal, Normal,-0.058772746,0.932422893,Central,Central
